Loss/train_step,train_loss,created_at,val_loss,epoch,learning_rate,Dice/test/epoch,IOU,Dice/test,ACC/test,PPV/test,TPR/test,TNR/test,F1/test
12.104958534240723,12.104958534240723,2021-06-28 07:01:25.992062,,,,,,,,,,,
12.479959487915039,12.479959487915039,2021-06-28 07:01:27.156782,,,,,,,,,,,
12.479959487915039,12.479959487915039,2021-06-28 07:01:28.385262,,,,,,,,,,,
11.429960250854492,11.429960250854492,2021-06-28 07:01:29.552963,,,,,,,,,,,
12.479959487915039,12.479959487915039,2021-06-28 07:01:30.750657,,,,,,,,,,,
11.804960250854492,11.804960250854492,2021-06-28 07:01:31.943571,,,,,,,,,,,
12.479959487915039,12.479959487915039,2021-06-28 07:01:33.164026,,,,,,,,,,,
12.479959487915039,12.479959487915039,2021-06-28 07:01:34.395512,,,,,,,,,,,
12.104959487915039,12.104959487915039,2021-06-28 07:01:35.618640,,,,,,,,,,,
12.479959487915039,12.479959487915039,2021-06-28 07:01:36.801099,,,,,,,,,,,
11.804959297180176,11.804959297180176,2021-06-28 07:01:38.018479,,,,,,,,,,,
12.104959487915039,12.104959487915039,2021-06-28 07:01:39.219737,,,,,,,,,,,
12.179959297180176,12.179959297180176,2021-06-28 07:01:40.470892,,,,,,,,,,,
12.479959487915039,12.479959487915039,2021-06-28 07:01:41.676192,,,,,,,,,,,
12.104959487915039,12.104959487915039,2021-06-28 07:01:42.914475,,,,,,,,,,,
11.729959487915039,11.729959487915039,2021-06-28 07:01:44.080245,,,,,,,,,,,
,,2021-06-28 07:01:45.159343,12.479959487915039,0.0,,,,,,,,,
,,2021-06-28 07:01:45.291419,,0.0,0.001,3.4280393412890584,0.9830217322665448,0.15109701238624637,0.9830217322665448,0.1510951237208082,0.1510951237208082,0.9914249910653942,0.15106985359184188
